"Plot Title: 20386723"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20386723, SEN S/N: 20385905, LBL: 20385905 - top)","Water Content, m³/m³ (LGR S/N: 20386723, SEN S/N: 20385906, LBL: 20385906 - bottom)"
1,06/04/18 12:30:01 PM,0.3058,0.2871
2,06/04/18 12:45:01 PM,0.3058,0.2877
3,06/04/18 01:00:01 PM,0.3058,0.2884
4,06/04/18 01:15:01 PM,0.3058,0.2884
5,06/04/18 01:30:01 PM,0.3058,0.2887
6,06/04/18 01:45:01 PM,0.3058,0.2895
7,06/04/18 02:00:01 PM,0.3062,0.2895
8,06/04/18 02:15:01 PM,0.3062,0.2901
9,06/04/18 02:30:01 PM,0.3066,0.2901
10,06/04/18 02:45:01 PM,0.3062,0.2904
11,06/04/18 03:00:01 PM,0.3066,0.2908
12,06/04/18 03:15:01 PM,0.3066,0.2911
13,06/04/18 03:30:01 PM,0.3066,0.2911
14,06/04/18 03:45:01 PM,0.3069,0.2911
15,06/04/18 04:00:01 PM,0.3069,0.2914
16,06/04/18 04:15:01 PM,0.3072,0.2914
17,06/04/18 04:30:01 PM,0.3072,0.2922
18,06/04/18 04:45:01 PM,0.3072,0.2922
19,06/04/18 05:00:01 PM,0.3077,0.2925
20,06/04/18 05:15:01 PM,0.3077,0.2925
21,06/04/18 05:30:01 PM,0.3080,0.2925
22,06/04/18 05:45:01 PM,0.3080,0.2932
23,06/04/18 06:00:01 PM,0.3084,0.2928
24,06/04/18 06:15:01 PM,0.3084,0.2932
25,06/04/18 06:30:01 PM,0.3087,0.2932
26,06/04/18 06:45:01 PM,0.3087,0.2938
27,06/04/18 07:00:01 PM,0.3092,0.2935
28,06/04/18 07:15:01 PM,0.3087,0.2938
29,06/04/18 07:30:01 PM,0.3087,0.2938
30,06/04/18 07:45:01 PM,0.3087,0.2938
31,06/04/18 08:00:01 PM,0.3092,0.2946
32,06/04/18 08:15:01 PM,0.3092,0.2946
33,06/04/18 08:30:01 PM,0.3092,0.2949
34,06/04/18 08:45:01 PM,0.3092,0.2949
35,06/04/18 09:00:01 PM,0.3092,0.2946
36,06/04/18 09:15:01 PM,0.3092,0.2949
37,06/04/18 09:30:01 PM,0.3092,0.2949
38,06/04/18 09:45:01 PM,0.3092,0.2952
39,06/04/18 10:00:01 PM,0.3092,0.2952
40,06/04/18 10:15:01 PM,0.3092,0.2955
41,06/04/18 10:30:01 PM,0.3092,0.2955
42,06/04/18 10:45:01 PM,0.3092,0.2955
43,06/04/18 11:00:01 PM,0.3092,0.2959
44,06/04/18 11:15:01 PM,0.3092,0.2959
45,06/04/18 11:30:01 PM,0.3092,0.2959
46,06/04/18 11:45:01 PM,0.3092,0.2963
47,06/05/18 12:00:01 AM,0.3092,0.2963
48,06/05/18 12:15:01 AM,0.3092,0.2966
49,06/05/18 12:30:01 AM,0.3092,0.2966
50,06/05/18 12:45:01 AM,0.3092,0.2966
51,06/05/18 01:00:01 AM,0.3092,0.2970
52,06/05/18 01:15:01 AM,0.3092,0.2970
53,06/05/18 01:30:01 AM,0.3092,0.2970
54,06/05/18 01:45:01 AM,0.3092,0.2973
55,06/05/18 02:00:01 AM,0.3092,0.2973
56,06/05/18 02:15:01 AM,0.3092,0.2976
57,06/05/18 02:30:01 AM,0.3095,0.2976
58,06/05/18 02:45:01 AM,0.3087,0.2976
59,06/05/18 03:00:01 AM,0.3092,0.2976
60,06/05/18 03:15:01 AM,0.3087,0.2979
61,06/05/18 03:30:01 AM,0.3092,0.2979
62,06/05/18 03:45:01 AM,0.3087,0.2984
63,06/05/18 04:00:01 AM,0.3092,0.2984
64,06/05/18 04:15:01 AM,0.3087,0.2984
65,06/05/18 04:30:01 AM,0.3092,0.2984
66,06/05/18 04:45:01 AM,0.3087,0.2987
67,06/05/18 05:00:01 AM,0.3092,0.2987
68,06/05/18 05:15:01 AM,0.3087,0.2990
69,06/05/18 05:30:01 AM,0.3092,0.2990
70,06/05/18 05:45:01 AM,0.3087,0.2990
71,06/05/18 06:00:01 AM,0.3092,0.2990
72,06/05/18 06:15:01 AM,0.3087,0.2990
73,06/05/18 06:30:01 AM,0.3092,0.2994
74,06/05/18 06:45:01 AM,0.3087,0.2994
75,06/05/18 07:00:01 AM,0.3092,0.2994
76,06/05/18 07:15:01 AM,0.3087,0.2994
77,06/05/18 07:30:01 AM,0.3092,0.2994
78,06/05/18 07:45:01 AM,0.3092,0.2997
79,06/05/18 08:00:01 AM,0.3092,0.2997
80,06/05/18 08:15:01 AM,0.3087,0.2997
81,06/05/18 08:30:01 AM,0.3087,0.2997
82,06/05/18 08:45:01 AM,0.3087,0.3005
83,06/05/18 09:00:01 AM,0.3092,0.3005
84,06/05/18 09:15:01 AM,0.3087,0.3001
85,06/05/18 09:30:01 AM,0.3087,0.3001
86,06/05/18 09:45:01 AM,0.3087,0.3005
87,06/05/18 10:00:01 AM,0.3087,0.3008
88,06/05/18 10:15:01 AM,0.3087,0.3008
89,06/05/18 10:30:01 AM,0.3087,0.3005
90,06/05/18 10:45:01 AM,0.3087,0.3008
91,06/05/18 11:00:01 AM,0.3087,0.3008
92,06/05/18 11:15:01 AM,0.3087,0.3011
93,06/05/18 11:30:01 AM,0.3087,0.3011
94,06/05/18 11:45:01 AM,0.3087,0.3011
95,06/05/18 12:00:01 PM,0.3092,0.3008
96,06/05/18 12:15:01 PM,0.3087,0.3008
97,06/05/18 12:30:01 PM,0.3087,0.3008
98,06/05/18 12:45:01 PM,0.3087,0.3011
99,06/05/18 01:00:01 PM,0.3087,0.3015
100,06/05/18 01:15:01 PM,0.3087,0.3015
101,06/05/18 01:30:01 PM,0.3087,0.3011
102,06/05/18 01:45:01 PM,0.3087,0.3011
103,06/05/18 02:00:01 PM,0.3087,0.3015
104,06/05/18 02:15:01 PM,0.3087,0.3015
105,06/05/18 02:30:01 PM,0.3084,0.3015
106,06/05/18 02:45:01 PM,0.3087,0.3015
107,06/05/18 03:00:01 PM,0.3092,0.3011
108,06/05/18 03:15:01 PM,0.3087,0.3015
109,06/05/18 03:30:01 PM,0.3087,0.3019
110,06/05/18 03:45:01 PM,0.3087,0.3019
111,06/05/18 04:00:01 PM,0.3084,0.3015
112,06/05/18 04:15:01 PM,0.3087,0.3019
113,06/05/18 04:30:01 PM,0.3087,0.3019
114,06/05/18 04:45:01 PM,0.3087,0.3019
115,06/05/18 05:00:01 PM,0.3087,0.3015
116,06/05/18 05:15:01 PM,0.3087,0.3019
117,06/05/18 05:30:01 PM,0.3087,0.3019
118,06/05/18 05:45:01 PM,0.3087,0.3022
119,06/05/18 06:00:01 PM,0.3087,0.3022
120,06/05/18 06:15:01 PM,0.3087,0.3019
121,06/05/18 06:30:01 PM,0.3087,0.3019
122,06/05/18 06:45:01 PM,0.3087,0.3022
123,06/05/18 07:00:01 PM,0.3087,0.3022
124,06/05/18 07:15:01 PM,0.3087,0.3022
125,06/05/18 07:30:01 PM,0.3087,0.3019
126,06/05/18 07:45:01 PM,0.3087,0.3019
127,06/05/18 08:00:01 PM,0.3087,0.3019
128,06/05/18 08:15:01 PM,0.3092,0.3022
129,06/05/18 08:30:01 PM,0.3087,0.3022
130,06/05/18 08:45:01 PM,0.3087,0.3022
131,06/05/18 09:00:01 PM,0.3087,0.3022
132,06/05/18 09:15:01 PM,0.3087,0.3022
133,06/05/18 09:30:01 PM,0.3092,0.3022
134,06/05/18 09:45:01 PM,0.3087,0.3022
135,06/05/18 10:00:01 PM,0.3087,0.3022
136,06/05/18 10:15:01 PM,0.3092,0.3022
137,06/05/18 10:30:01 PM,0.3087,0.3022
138,06/05/18 10:45:01 PM,0.3087,0.3026
139,06/05/18 11:00:01 PM,0.3092,0.3022
140,06/05/18 11:15:01 PM,0.3092,0.3026
141,06/05/18 11:30:01 PM,0.3092,0.3026
142,06/05/18 11:45:01 PM,0.3092,0.3026
143,06/06/18 12:00:01 AM,0.3092,0.3026
144,06/06/18 12:15:01 AM,0.3087,0.3029
145,06/06/18 12:30:01 AM,0.3087,0.3029
146,06/06/18 12:45:01 AM,0.3087,0.3029
147,06/06/18 01:00:01 AM,0.3092,0.3026
148,06/06/18 01:15:01 AM,0.3092,0.3026
149,06/06/18 01:30:01 AM,0.3087,0.3029
150,06/06/18 01:45:01 AM,0.3087,0.3033
151,06/06/18 02:00:01 AM,0.3084,0.3033
152,06/06/18 02:15:01 AM,0.3087,0.3029
153,06/06/18 02:30:01 AM,0.3087,0.3029
154,06/06/18 02:45:01 AM,0.3087,0.3029
155,06/06/18 03:00:01 AM,0.3087,0.3029
156,06/06/18 03:15:01 AM,0.3084,0.3029
157,06/06/18 03:30:01 AM,0.3084,0.3029
158,06/06/18 03:45:01 AM,0.3087,0.3033
159,06/06/18 04:00:01 AM,0.3087,0.3037
160,06/06/18 04:15:01 AM,0.3087,0.3037
161,06/06/18 04:30:01 AM,0.3087,0.3033
162,06/06/18 04:45:01 AM,0.3087,0.3033
163,06/06/18 05:00:01 AM,0.3087,0.3033
164,06/06/18 05:15:01 AM,0.3084,0.3033
165,06/06/18 05:30:01 AM,0.3084,0.3033
166,06/06/18 05:45:01 AM,0.3084,0.3037
167,06/06/18 06:00:01 AM,0.3084,0.3033
168,06/06/18 06:15:01 AM,0.3087,0.3037
169,06/06/18 06:30:01 AM,0.3084,0.3037
