"Plot Title: 20386722"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20385903, LBL: 20385903 - top)","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20385904, LBL: 20385904 - bottom)"
1,06/04/18 12:30:01 PM,0.3171,0.3408
2,06/04/18 12:45:01 PM,0.3183,0.3408
3,06/04/18 01:00:01 PM,0.3204,0.3418
4,06/04/18 01:15:01 PM,0.3207,0.3418
5,06/04/18 01:30:01 PM,0.3216,0.3422
6,06/04/18 01:45:01 PM,0.3223,0.3427
7,06/04/18 02:00:01 PM,0.3231,0.3432
8,06/04/18 02:15:01 PM,0.3240,0.3432
9,06/04/18 02:30:01 PM,0.3235,0.3437
10,06/04/18 02:45:01 PM,0.3244,0.3437
11,06/04/18 03:00:01 PM,0.3249,0.3441
12,06/04/18 03:15:01 PM,0.3249,0.3441
13,06/04/18 03:30:01 PM,0.3256,0.3447
14,06/04/18 03:45:01 PM,0.3249,0.3451
15,06/04/18 04:00:01 PM,0.3261,0.3451
16,06/04/18 04:15:01 PM,0.3261,0.3457
17,06/04/18 04:30:01 PM,0.3265,0.3457
18,06/04/18 04:45:01 PM,0.3261,0.3461
19,06/04/18 05:00:01 PM,0.3269,0.3461
20,06/04/18 05:15:01 PM,0.3265,0.3461
21,06/04/18 05:30:01 PM,0.3274,0.3466
22,06/04/18 05:45:01 PM,0.3269,0.3466
23,06/04/18 06:00:01 PM,0.3277,0.3476
24,06/04/18 06:15:01 PM,0.3269,0.3481
25,06/04/18 06:30:01 PM,0.3274,0.3481
26,06/04/18 06:45:01 PM,0.3277,0.3486
27,06/04/18 07:00:01 PM,0.3282,0.3486
28,06/04/18 07:15:01 PM,0.3277,0.3496
29,06/04/18 07:30:01 PM,0.3282,0.3500
30,06/04/18 07:45:01 PM,0.3277,0.3506
31,06/04/18 08:00:01 PM,0.3286,0.3511
32,06/04/18 08:15:01 PM,0.3277,0.3516
33,06/04/18 08:30:01 PM,0.3282,0.3516
34,06/04/18 08:45:01 PM,0.3286,0.3521
35,06/04/18 09:00:01 PM,0.3282,0.3526
36,06/04/18 09:15:01 PM,0.3282,0.3531
37,06/04/18 09:30:01 PM,0.3286,0.3537
38,06/04/18 09:45:01 PM,0.3282,0.3537
39,06/04/18 10:00:01 PM,0.3286,0.3542
40,06/04/18 10:15:01 PM,0.3286,0.3547
41,06/04/18 10:30:01 PM,0.3282,0.3553
42,06/04/18 10:45:01 PM,0.3290,0.3557
43,06/04/18 11:00:01 PM,0.3286,0.3563
44,06/04/18 11:15:01 PM,0.3286,0.3568
45,06/04/18 11:30:01 PM,0.3282,0.3573
46,06/04/18 11:45:01 PM,0.3282,0.3578
47,06/05/18 12:00:01 AM,0.3290,0.3578
48,06/05/18 12:15:01 AM,0.3286,0.3578
49,06/05/18 12:30:01 AM,0.3286,0.3584
50,06/05/18 12:45:01 AM,0.3282,0.3584
51,06/05/18 01:00:01 AM,0.3282,0.3584
52,06/05/18 01:15:01 AM,0.3282,0.3590
53,06/05/18 01:30:01 AM,0.3282,0.3590
54,06/05/18 01:45:01 AM,0.3282,0.3594
55,06/05/18 02:00:01 AM,0.3282,0.3600
56,06/05/18 02:15:01 AM,0.3282,0.3605
57,06/05/18 02:30:01 AM,0.3282,0.3611
58,06/05/18 02:45:01 AM,0.3282,0.3616
59,06/05/18 03:00:01 AM,0.3282,0.3622
60,06/05/18 03:15:01 AM,0.3290,0.3628
61,06/05/18 03:30:01 AM,0.3282,0.3632
62,06/05/18 03:45:01 AM,0.3286,0.3638
63,06/05/18 04:00:01 AM,0.3286,0.3643
64,06/05/18 04:15:01 AM,0.3286,0.3649
65,06/05/18 04:30:01 AM,0.3286,0.3660
66,06/05/18 04:45:01 AM,0.3286,0.3677
67,06/05/18 05:00:01 AM,0.3286,0.3683
68,06/05/18 05:15:01 AM,0.3286,0.3694
69,06/05/18 05:30:01 AM,0.3286,0.3705
