"Plot Title: 20386722"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20385905)","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20385906)","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20469555)"
1,10/19/18 05:00:01 PM,0.2139,0.3393,0.1689
2,10/19/18 05:15:01 PM,0.2139,0.3393,0.1689
3,10/19/18 05:30:01 PM,0.2134,0.3393,0.1689
4,10/19/18 05:45:01 PM,0.2134,0.3393,0.1685
5,10/19/18 06:00:01 PM,0.2139,0.3399,0.1689
6,10/19/18 06:15:01 PM,0.2131,0.3393,0.1689
7,10/19/18 06:30:01 PM,0.2131,0.3399,0.1685
8,10/19/18 06:45:01 PM,0.2131,0.3399,0.1685
9,10/19/18 07:00:01 PM,0.2126,0.3393,0.1685
10,10/19/18 07:15:01 PM,0.2122,0.3393,0.1681
11,10/19/18 07:30:01 PM,0.2122,0.3389,0.1681
12,10/19/18 07:45:01 PM,0.2122,0.3393,0.1677
13,10/19/18 08:00:01 PM,0.2117,0.3399,0.1677
14,10/19/18 08:15:01 PM,0.2117,0.3389,0.1671
15,10/19/18 08:30:01 PM,0.2117,0.3393,0.1667
16,10/19/18 08:45:01 PM,0.2122,0.3393,0.1667
17,10/19/18 09:00:01 PM,0.2117,0.3393,0.1667
18,10/19/18 09:15:01 PM,0.2112,0.3389,0.1663
19,10/19/18 09:30:01 PM,0.2117,0.3389,0.1663
20,10/19/18 09:45:01 PM,0.2117,0.3389,0.1663
21,10/19/18 10:00:01 PM,0.2112,0.3389,0.1663
22,10/19/18 10:15:01 PM,0.2117,0.3389,0.1656
23,10/19/18 10:30:01 PM,0.2117,0.3393,0.1663
24,10/19/18 10:45:01 PM,0.2117,0.3389,0.1663
25,10/19/18 11:00:01 PM,0.2117,0.3389,0.1663
26,10/19/18 11:15:01 PM,0.2117,0.3393,0.1667
27,10/19/18 11:30:01 PM,0.2122,0.3393,0.1663
28,10/19/18 11:45:01 PM,0.2117,0.3393,0.1667
29,10/20/18 12:00:01 AM,0.2117,0.3393,0.1667
30,10/20/18 12:15:01 AM,0.2122,0.3399,0.1667
31,10/20/18 12:30:01 AM,0.2117,0.3393,0.1667
