"Plot Title: 20386723"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20386723, SEN S/N: 20385903)","Water Content, m³/m³ (LGR S/N: 20386723, SEN S/N: 20385904)"
1,05/24/19 03:30:01 PM,0.3746,0.3829
2,05/24/19 03:45:01 PM,0.3740,0.3829
3,05/24/19 04:00:01 PM,0.3746,0.3829
4,05/24/19 04:15:01 PM,0.3740,0.3829
5,05/24/19 04:30:01 PM,0.3740,0.3834
6,05/24/19 04:45:01 PM,0.3740,0.3834
7,05/24/19 05:00:01 PM,0.3740,0.3829
8,05/24/19 05:15:01 PM,0.3740,0.3834
9,05/24/19 05:30:01 PM,0.3740,0.3834
10,05/24/19 05:45:01 PM,0.3746,0.3829
11,05/24/19 06:00:01 PM,0.3740,0.3834
12,05/24/19 06:15:01 PM,0.3734,0.3834
13,05/24/19 06:30:01 PM,0.3734,0.3829
14,05/24/19 06:45:01 PM,0.3734,0.3834
15,05/24/19 07:00:01 PM,0.3734,0.3834
16,05/24/19 07:15:01 PM,0.3734,0.3829
17,05/24/19 07:30:01 PM,0.3734,0.3834
18,05/24/19 07:45:01 PM,0.3740,0.3829
19,05/24/19 08:00:01 PM,0.3734,0.3829
20,05/24/19 08:15:01 PM,0.3734,0.3829
21,05/24/19 08:30:01 PM,0.3729,0.3829
22,05/24/19 08:45:01 PM,0.3734,0.3829
23,05/24/19 09:00:01 PM,0.3729,0.3829
24,05/24/19 09:15:01 PM,0.3729,0.3829
25,05/24/19 09:30:01 PM,0.3734,0.3822
26,05/24/19 09:45:01 PM,0.3729,0.3822
27,05/24/19 10:00:01 PM,0.3729,0.3829
28,05/24/19 10:15:01 PM,0.3734,0.3822
29,05/24/19 10:30:01 PM,0.3729,0.3829
30,05/24/19 10:45:01 PM,0.3729,0.3829
31,05/24/19 11:00:01 PM,0.3729,0.3822
32,05/24/19 11:15:01 PM,0.3729,0.3822
33,05/24/19 11:30:01 PM,0.3722,0.3822
34,05/24/19 11:45:01 PM,0.3729,0.3822
35,05/25/19 12:00:01 AM,0.3722,0.3822
36,05/25/19 12:15:01 AM,0.3722,0.3822
37,05/25/19 12:30:01 AM,0.3716,0.3822
38,05/25/19 12:45:01 AM,0.3722,0.3822
39,05/25/19 01:00:01 AM,0.3722,0.3822
40,05/25/19 01:15:01 AM,0.3722,0.3816
41,05/25/19 01:30:01 AM,0.3722,0.3822
42,05/25/19 01:45:01 AM,0.3716,0.3822
43,05/25/19 02:00:01 AM,0.3716,0.3816
44,05/25/19 02:15:01 AM,0.3716,0.3822
45,05/25/19 02:30:01 AM,0.3716,0.3816
46,05/25/19 02:45:01 AM,0.3711,0.3816
47,05/25/19 03:00:01 AM,0.3716,0.3816
48,05/25/19 03:15:01 AM,0.3716,0.3816
49,05/25/19 03:30:01 AM,0.3711,0.3816
50,05/25/19 03:45:01 AM,0.3716,0.3816
51,05/25/19 04:00:01 AM,0.3716,0.3816
52,05/25/19 04:15:01 AM,0.3711,0.3816
