"Plot Title: 20386722"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20385905)","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20385906)","Water Content, m³/m³ (LGR S/N: 20386722, SEN S/N: 20469555)"
1,05/24/19 03:30:01 PM,0.2546,0.3822,0.2942
2,05/24/19 03:45:01 PM,0.2546,0.3822,0.2946
3,05/24/19 04:00:01 PM,0.2546,0.3822,0.2942
4,05/24/19 04:15:01 PM,0.2546,0.3822,0.2942
5,05/24/19 04:30:01 PM,0.2542,0.3822,0.2938
6,05/24/19 04:45:01 PM,0.2542,0.3816,0.2938
7,05/24/19 05:00:01 PM,0.2546,0.3822,0.2935
8,05/24/19 05:15:01 PM,0.2542,0.3811,0.2935
9,05/24/19 05:30:01 PM,0.2542,0.3816,0.2932
10,05/24/19 05:45:01 PM,0.2542,0.3811,0.2932
11,05/24/19 06:00:01 PM,0.2538,0.3816,0.2932
12,05/24/19 06:15:01 PM,0.2538,0.3816,0.2932
13,05/24/19 06:30:01 PM,0.2538,0.3811,0.2925
14,05/24/19 06:45:01 PM,0.2538,0.3816,0.2928
15,05/24/19 07:00:01 PM,0.2538,0.3804,0.2925
16,05/24/19 07:15:01 PM,0.2538,0.3804,0.2922
17,05/24/19 07:30:01 PM,0.2538,0.3804,0.2925
18,05/24/19 07:45:01 PM,0.2534,0.3804,0.2922
19,05/24/19 08:00:01 PM,0.2534,0.3804,0.2919
20,05/24/19 08:15:01 PM,0.2534,0.3798,0.2919
21,05/24/19 08:30:01 PM,0.2538,0.3804,0.2914
22,05/24/19 08:45:01 PM,0.2534,0.3798,0.2914
23,05/24/19 09:00:01 PM,0.2538,0.3798,0.2911
24,05/24/19 09:15:01 PM,0.2532,0.3798,0.2911
25,05/24/19 09:30:01 PM,0.2532,0.3798,0.2911
26,05/24/19 09:45:01 PM,0.2532,0.3793,0.2908
27,05/24/19 10:00:01 PM,0.2534,0.3798,0.2908
